	Open	High	Low	Close	Volume	TradingDate	Code
2310	8030.0	8310.0	8030.0	8280.0	323590	2017-04-26	LSS
2311	8280.0	8280.0	8190.0	8250.0	264130	2017-04-27	LSS
2312	8250.0	8660.0	8150.0	8600.0	826700	2017-04-28	LSS
2313	8920.0	9170.0	8760.0	9170.0	2826880	2017-05-03	LSS
2314	9300.0	9620.0	8980.0	9040.0	1721670	2017-05-04	LSS
2315	8980.0	9200.0	8980.0	9010.0	611300	2017-05-05	LSS
2316	9010.0	9170.0	8540.0	8600.0	1477680	2017-05-08	LSS
2317	8540.0	8790.0	8340.0	8570.0	871410	2017-05-09	LSS
2318	8600.0	8730.0	8440.0	8440.0	532590	2017-05-10	LSS
2319	8440.0	8600.0	8440.0	8470.0	591370	2017-05-11	LSS
2320	8570.0	8920.0	8540.0	8730.0	914380	2017-05-12	LSS
2321	8850.0	8890.0	8690.0	8760.0	553410	2017-05-15	LSS
2322	8790.0	8790.0	8600.0	8730.0	667580	2017-05-16	LSS
2323	8690.0	8730.0	8500.0	8600.0	579210	2017-05-17	LSS
2324	8600.0	8820.0	8570.0	8600.0	461470	2017-05-18	LSS
2325	8690.0	8730.0	8540.0	8570.0	361160	2017-05-19	LSS
2326	8570.0	8690.0	8500.0	8500.0	669410	2017-05-22	LSS
2327	8470.0	8500.0	8410.0	8410.0	382530	2017-05-23	LSS
2328	8410.0	8540.0	8150.0	8220.0	568390	2017-05-24	LSS
2329	8220.0	8410.0	8220.0	8280.0	251440	2017-05-25	LSS
2330	8280.0	8690.0	8250.0	8690.0	721180	2017-05-26	LSS
2331	8730.0	9040.0	8730.0	8980.0	1309540	2017-05-29	LSS
2332	8980.0	8980.0	8600.0	8600.0	765360	2017-05-30	LSS
2333	8600.0	8790.0	8470.0	8660.0	712310	2017-05-31	LSS
2334	8660.0	8790.0	8660.0	8660.0	367210	2017-06-01	LSS
2335	8820.0	8820.0	8660.0	8660.0	254820	2017-06-02	LSS
2336	8660.0	9080.0	8660.0	8890.0	938570	2017-06-05	LSS
2337	8920.0	9080.0	8850.0	9040.0	1124160	2017-06-06	LSS
2338	9140.0	9430.0	9110.0	9240.0	1828760	2017-06-07	LSS
2339	9170.0	9270.0	8980.0	8980.0	961290	2017-06-08	LSS
2340	9110.0	9170.0	8920.0	9010.0	634450	2017-06-09	LSS
2341	8980.0	9170.0	8980.0	9010.0	555630	2017-06-12	LSS
2342	8980.0	9040.0	8890.0	8980.0	293120	2017-06-13	LSS
